Iter 2 | Total: 65.1397 | LL: -55.3263 | CE: 9.8134
Iter 3 | Total: 53.6803 | LL: -43.9564 | CE: 9.7239
Iter 4 | Total: 47.9784 | LL: -38.3379 | CE: 9.6405
Iter 5 | Total: 44.7905 | LL: -35.2282 | CE: 9.5623
Iter 6 | Total: 42.7864 | LL: -33.2973 | CE: 9.4892
Iter 7 | Total: 41.3730 | LL: -31.9514 | CE: 9.4215
Iter 8 | Total: 40.2623 | LL: -30.9035 | CE: 9.3587
Iter 9 | Total: 39.3070 | LL: -30.0071 | CE: 9.2998
Iter 10 | Total: 38.4380 | LL: -29.1944 | CE: 9.2436
Iter 11 | Total: 37.6322 | LL: -28.4430 | CE: 9.1892
Iter 12 | Total: 36.8811 | LL: -27.7450 | CE: 9.1361
Iter 13 | Total: 36.1775 | LL: -27.0934 | CE: 9.0841
Iter 14 | Total: 35.5177 | LL: -26.4842 | CE: 9.0335
Iter 15 | Total: 34.9033 | LL: -25.9185 | CE: 8.9848
Iter 16 | Total: 34.3373 | LL: -25.3987 | CE: 8.9386
Iter 17 | Total: 33.8205 | LL: -24.9250 | CE: 8.8955
Iter 18 | Total: 33.3505 | LL: -24.4945 | CE: 8.8560
Iter 19 | Total: 32.9236 | LL: -24.1031 | CE: 8.8205
Iter 20 | Total: 32.5359 | LL: -23.7465 | CE: 8.7894
Iter 21 | Total: 32.1836 | LL: -23.4209 | CE: 8.7627
Iter 22 | Total: 31.8634 | LL: -23.1228 | CE: 8.7406
