Iter 6 | Total: 37.5337 | LL: -28.2692 | CE: 9.2645
Iter 7 | Total: 35.9840 | LL: -26.8737 | CE: 9.1104
Iter 8 | Total: 34.5868 | LL: -25.6270 | CE: 8.9598
Iter 9 | Total: 33.3280 | LL: -24.5110 | CE: 8.8170
Iter 10 | Total: 32.2067 | LL: -23.5188 | CE: 8.6879
Iter 11 | Total: 31.2217 | LL: -22.6436 | CE: 8.5781
Iter 12 | Total: 30.3672 | LL: -21.8755 | CE: 8.4916
Iter 13 | Total: 29.6337 | LL: -21.2028 | CE: 8.4309
Iter 14 | Total: 29.0100 | LL: -20.6134 | CE: 8.3966
Iter 15 | Total: 28.4849 | LL: -20.0965 | CE: 8.3884
Iter 16 | Total: 28.0483 | LL: -19.6431 | CE: 8.4052
Iter 17 | Total: 27.6912 | LL: -19.2457 | CE: 8.4455
Iter 18 | Total: 27.4056 | LL: -18.8980 | CE: 8.5077
Iter 19 | Total: 27.1844 | LL: -18.5943 | CE: 8.5901
Iter 20 | Total: 27.0207 | LL: -18.3295 | CE: 8.6912
Iter 21 | Total: 26.9083 | LL: -18.0986 | CE: 8.8097
Iter 22 | Total: 26.8412 | LL: -17.8971 | CE: 8.9441
Iter 23 | Total: 26.8142 | LL: -17.7209 | CE: 9.0934
Iter 24 | Total: 26.8227 | LL: -17.5662 | CE: 9.2565
Iter 25 | Total: 26.8625 | LL: -17.4300 | CE: 9.4325
Iter 26 | Total: 26.9303 | LL: -17.3094 | CE: 9.6209
Iter 27 | Total: 27.0232 | LL: -17.2024 | CE: 9.8208
Iter 28 | Total: 27.1387 | LL: -17.1069 | CE: 10.0318
Iter 29 | Total: 27.2747 | LL: -17.0215 | CE: 10.2533
Iter 0 | Total: 57.1879 | LL: -46.4808 | CE: 10.7071
Iter 1 | Total: 47.2330 | LL: -36.6319 | CE: 10.6010
Iter 2 | Total: 42.1845 | LL: -31.7539 | CE: 10.4306
Iter 3 | Total: 39.2681 | LL: -29.0008 | CE: 10.2673
Iter 4 | Total: 37.2779 | LL: -27.1574 | CE: 10.1206
Iter 5 | Total: 35.7138 | LL: -25.7247 | CE: 9.9891
Iter 6 | Total: 34.3758 | LL: -24.5043 | CE: 9.8715
Iter 7 | Total: 33.1900 | LL: -23.4210 | CE: 9.7690
Iter 8 | Total: 32.1322 | LL: -22.4470 | CE: 9.6852
Iter 9 | Total: 31.1956 | LL: -21.5713 | CE: 9.6243
Iter 10 | Total: 30.3778 | LL: -20.7873 | CE: 9.5905
Iter 11 | Total: 29.6756 | LL: -20.0890 | CE: 9.5866
Iter 12 | Total: 29.0841 | LL: -19.4699 | CE: 9.6142
