Iter 24 | Total: 32.6194 | LL: -27.2505 | CE: 5.3690
Iter 25 | Total: 32.5200 | LL: -27.1587 | CE: 5.3614
Iter 26 | Total: 32.4370 | LL: -27.0759 | CE: 5.3612
Iter 27 | Total: 32.3688 | LL: -27.0007 | CE: 5.3681
Iter 28 | Total: 32.3140 | LL: -26.9322 | CE: 5.3819
Iter 29 | Total: 32.2719 | LL: -26.8694 | CE: 5.4025
Iter 0 | Total: 141.9977 | LL: -132.7669 | CE: 9.2308
Iter 1 | Total: 100.6417 | LL: -91.5497 | CE: 9.0919
Iter 2 | Total: 78.8892 | LL: -70.0403 | CE: 8.8488
Iter 3 | Total: 67.1542 | LL: -58.5383 | CE: 8.6158
Iter 4 | Total: 60.1915 | LL: -51.7825 | CE: 8.4090
Iter 5 | Total: 55.5340 | LL: -47.3153 | CE: 8.2187
Iter 6 | Total: 52.0823 | LL: -44.0486 | CE: 8.0337
Iter 7 | Total: 49.3430 | LL: -41.4946 | CE: 7.8483
Iter 8 | Total: 47.0816 | LL: -39.4201 | CE: 7.6616
Iter 9 | Total: 45.1750 | LL: -37.6999 | CE: 7.4751
Iter 10 | Total: 43.5474 | LL: -36.2560 | CE: 7.2914
Iter 11 | Total: 42.1447 | LL: -35.0317 | CE: 7.1130
Iter 12 | Total: 40.9234 | LL: -33.9823 | CE: 6.9411
Iter 13 | Total: 39.8478 | LL: -33.0718 | CE: 6.7760
Iter 14 | Total: 38.8885 | LL: -32.2715 | CE: 6.6170
Iter 15 | Total: 38.0221 | LL: -31.5591 | CE: 6.4630
Iter 16 | Total: 37.2308 | LL: -30.9180 | CE: 6.3128
Iter 17 | Total: 36.5015 | LL: -30.3362 | CE: 6.1653
Iter 18 | Total: 35.8251 | LL: -29.8053 | CE: 6.0199
Iter 19 | Total: 35.1956 | LL: -29.3193 | CE: 5.8763
Iter 20 | Total: 34.6088 | LL: -28.8742 | CE: 5.7346
Iter 21 | Total: 34.0622 | LL: -28.4670 | CE: 5.5952
Iter 22 | Total: 33.5539 | LL: -28.0952 | CE: 5.4587
Iter 23 | Total: 33.0824 | LL: -27.7565 | CE: 5.3258
Iter 24 | Total: 32.6460 | LL: -27.4488 | CE: 5.1972
Iter 25 | Total: 32.2434 | LL: -27.1697 | CE: 5.0736
Iter 26 | Total: 31.8728 | LL: -26.9172 | CE: 4.9556
Iter 27 | Total: 31.5326 | LL: -26.6890 | CE: 4.8436
Iter 28 | Total: 31.2211 | LL: -26.4830 | CE: 4.7381
Iter 29 | Total: 30.9365 | LL: -26.2972 | CE: 4.6392
Iter 0 | Total: 86.9921 | LL: -77.8260 | CE: 9.1661
Iter 1 | Total: 67.1087 | LL: -58.0987 | CE: 9.0100
Iter 2 | Total: 56.1621 | LL: -47.4175 | CE: 8.7446
Iter 3 | Total: 50.1408 | LL: -41.6439 | CE: 8.4969
Iter 4 | Total: 46.5134 | LL: -38.2248 | CE: 8.2887
Iter 5 | Total: 44.0272 | LL: -35.9228 | CE: 8.1044
Iter 6 | Total: 42.1193 | LL: -34.1918 | CE: 7.9276
Iter 7 | Total: 40.5384 | LL: -32.7901 | CE: 7.7483
Iter 8 | Total: 39.1694 | LL: -31.6068 | CE: 7.5626
Iter 9 | Total: 37.9577 | LL: -30.5873 | CE: 7.3704
Iter 10 | Total: 36.8764 | LL: -29.7023 | CE: 7.1741
Iter 11 | Total: 35.9106 | LL: -28.9327 | CE: 6.9778
Iter 12 | Total: 35.0501 | LL: -28.2643 | CE: 6.7858
Iter 13 | Total: 34.2862 | LL: -27.6847 | CE: 6.6015
Iter 14 | Total: 33.6104 | LL: -27.1827 | CE: 6.4276
